bdv,inscrits,Nuls,ALLIANCE ECOLOGISTE INDEPENDANTE,CHANGER LA DONNE,LISTE D UNITE ET DE RESISTANCE CONTRE LA POLITIQUE DU GOUVERNEMENT ET DE L U.E SOUTENUE PAR LE POI,LUTTE OUVRIERE FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS,"MARSEILLE A GAUCHE, L HUMAIN D ABORD DANS NOTRE VILLE",MARSEILLE A VIVRE,MARSEILLE BLEU MARINE,MARSEILLE EN AVANT AVEC JEAN-CLAUDE GAUDIN,MARSEILLE ENSEMBLE,MARSEILLE J Y CROIS,MARSEILLE POPULAIRE,MARSEILLE UNIE,UN NOUVEAU CAP POUR LES MARSEILLAIS AVEC PATRICK MENNUCCI,UNE QUALITE DE VIE POUR TOUS,UNION POUR MARSEILLE,Total Résultat
101,1054,20,6,64,2,,48,,38,100,,6,,,126,,4,394
102,680,14,8,19,2,,28,,21,132,,0,,,105,,2,317
104,793,12,6,44,2,,37,,15,77,,1,,,128,,2,312
121,1068,19,13,46,1,,44,,55,156,,3,,,153,,7,478
122,1282,22,20,68,1,,85,,50,132,,6,,,189,,8,559
125,803,10,9,30,0,,48,,50,166,,3,,,131,,2,439
126,920,9,10,61,2,,85,,36,93,,4,,,170,,4,465
127,862,9,9,45,0,,56,,61,79,,4,,,175,,3,432
128,1016,10,9,66,1,,92,,50,120,,5,,,200,,3,546
141,829,13,11,35,2,,31,,33,83,,2,,,145,,2,344
142,887,15,19,44,1,,31,,20,91,,2,,,154,,6,368
181,1269,22,12,45,3,,85,,38,170,,8,,,227,,9,597
182,837,12,16,42,0,,61,,43,117,,3,,,144,,2,428
183,1232,17,17,70,3,,89,,85,161,,5,,,214,,1,645
184,1228,16,16,65,5,,71,,72,139,,2,,,204,,4,578
186,1335,18,21,56,3,,94,,99,157,,4,,,259,,5,698
187,1318,30,20,69,3,,65,,107,209,,5,,,223,,8,709
188,1316,22,15,47,5,,77,,155,211,,6,,,210,,1,727
201,829,12,,16,1,3,29,,73,189,4,3,3,,86,,70,477
202,704,10,,7,0,2,16,,60,199,0,2,2,,70,,87,445
204,702,13,,23,0,1,46,,48,106,0,5,1,,77,,93,400
231,711,16,,21,1,3,50,,35,45,3,3,5,,85,,91,342
233,969,11,,36,0,4,45,,70,147,7,3,0,,102,,151,565
235,1022,17,,36,0,8,32,,59,100,7,6,7,,84,,109,448
237,378,6,,6,0,2,8,,27,54,8,0,2,,34,,48,189
238,950,14,,35,2,2,57,,39,80,15,6,8,,98,,133,475
251,921,10,,22,0,4,16,,37,68,7,3,14,,81,,80,332
252,1362,20,,25,2,10,48,,97,153,15,3,23,,134,,136,646
253,972,17,,16,0,3,26,,61,114,11,2,1,,87,,82,403
254,1066,16,,29,0,2,30,,79,139,5,3,1,,100,,130,518
255,1066,19,,24,1,5,27,,55,123,8,1,1,,88,,103,436
281,442,2,,10,1,1,12,,60,49,0,1,0,,22,,33,189
301,651,7,,11,0,2,6,,59,97,1,1,7,,37,,69,290
302,700,11,,16,1,1,19,,71,90,2,0,3,,46,,76,325
303,702,14,,11,0,5,8,,82,114,2,1,6,,46,,83,358
351,809,9,,15,1,5,20,,65,97,4,1,6,,62,,144,420
352,1179,15,,30,2,6,32,,78,100,1,8,10,,95,,108,470
353,783,7,,24,2,6,15,,34,71,1,3,11,,52,,93,312
354,920,9,,16,0,3,14,,71,93,5,5,5,,61,,91,364
356,1370,25,,33,1,7,31,,57,127,3,3,21,,90,,152,525
357,1205,15,,44,1,1,20,,34,67,11,0,10,,107,,128,423
358,1500,18,,32,1,4,23,,36,93,13,2,8,,124,,196,532
360,868,11,,14,0,4,35,,93,85,21,3,6,,56,,86,403
361,563,5,,13,0,2,23,,49,47,17,5,1,,30,,49,236
362,1001,12,,20,2,2,39,,81,107,28,4,0,,51,,71,405
363,1248,18,,40,0,0,43,,84,91,25,3,6,,72,,94,458
364,851,10,,18,1,4,34,,64,78,6,1,4,,57,,100,367
365,523,5,,8,1,0,25,,70,33,0,5,5,,35,,38,220
366,1189,12,,28,5,5,47,,86,96,12,5,10,,85,,128,507
