CODGEO;LIBGEO;ZE2010;LIBZE2010;DEP;REG;REG2016
01001;L'Abergement-Clémenciat;8213;Villefranche-sur-Saône;01;82;84
01002;L'Abergement-de-Varey;8201;Ambérieu-en-Bugey;01;82;84
01004;Ambérieu-en-Bugey;8201;Ambérieu-en-Bugey;01;82;84
01005;Ambérieux-en-Dombes;8213;Villefranche-sur-Saône;01;82;84
01006;Ambléon;8216;Chambéry;01;82;84
01007;Ambronay;8201;Ambérieu-en-Bugey;01;82;84
01008;Ambutrix;8201;Ambérieu-en-Bugey;01;82;84
01009;Andert-et-Condon;8216;Chambéry;01;82;84
01010;Anglefort;8219;Le Genevois Français;01;82;84
01011;Apremont;8203;Oyonnax;01;82;84
01012;Aranc;8203;Oyonnax;01;82;84
01013;Arandas;8201;Ambérieu-en-Bugey;01;82;84
01014;Arbent;8203;Oyonnax;01;82;84
01015;Arbignieu;8216;Chambéry;01;82;84
01016;Arbigny;0053;Mâcon;01;82;84
01017;Argis;8201;Ambérieu-en-Bugey;01;82;84
01019;Armix;8203;Oyonnax;01;82;84
01021;Ars-sur-Formans;8213;Villefranche-sur-Saône;01;82;84
01022;Artemare;8216;Chambéry;01;82;84
01023;Asnières-sur-Saône;0053;Mâcon;01;82;84
01024;Attignat;8202;Bourg-en-Bresse;01;82;84
01025;Bâgé-la-Ville;0053;Mâcon;01;82;84
01026;Bâgé-le-Châtel;0053;Mâcon;01;82;84
01027;Balan;8214;Lyon;01;82;84
01028;Baneins;8213;Villefranche-sur-Saône;01;82;84
01029;Beaupont;8202;Bourg-en-Bresse;01;82;84
01030;Beauregard;8213;Villefranche-sur-Saône;01;82;84
01031;Bellignat;8203;Oyonnax;01;82;84
01032;Béligneux;8214;Lyon;01;82;84
01033;Bellegarde-sur-Valserine;8219;Le Genevois Français;01;82;84
01034;Belley;8216;Chambéry;01;82;84
01035;Belleydoux;8203;Oyonnax;01;82;84
01036;Belmont-Luthézieu;8216;Chambéry;01;82;84
01037;Bénonces;8201;Ambérieu-en-Bugey;01;82;84
01038;Bény;8202;Bourg-en-Bresse;01;82;84
01039;Béon;8216;Chambéry;01;82;84
01040;Béréziat;8202;Bourg-en-Bresse;01;82;84
01041;Bettant;8201;Ambérieu-en-Bugey;01;82;84
01042;Bey;0053;Mâcon;01;82;84
01043;Beynost;8214;Lyon;01;82;84
01044;Billiat;8219;Le Genevois Français;01;82;84
01045;Birieux;8214;Lyon;01;82;84
01046;Biziat;0053;Mâcon;01;82;84
01047;Blyes;8201;Ambérieu-en-Bugey;01;82;84
01049;La Boisse;8214;Lyon;01;82;84
01050;Boissey;0053;Mâcon;01;82;84
01051;Bolozon;8203;Oyonnax;01;82;84
01052;Bouligneux;8214;Lyon;01;82;84
01053;Bourg-en-Bresse;8202;Bourg-en-Bresse;01;82;84
01054;Bourg-Saint-Christophe;8201;Ambérieu-en-Bugey;01;82;84
01056;Boyeux-Saint-Jérôme;8201;Ambérieu-en-Bugey;01;82;84
01057;Boz;0053;Mâcon;01;82;84
01058;Brégnier-Cordon;8209;Bourgoin-Jallieu;01;82;84
01059;Brénaz;8216;Chambéry;01;82;84
01060;Brénod;8203;Oyonnax;01;82;84
01061;Brens;8216;Chambéry;01;82;84
01062;Bressolles;8214;Lyon;01;82;84
01063;Brion;8203;Oyonnax;01;82;84
01064;Briord;8201;Ambérieu-en-Bugey;01;82;84
01065;Buellas;8202;Bourg-en-Bresse;01;82;84
01066;La Burbanche;8201;Ambérieu-en-Bugey;01;82;84
01067;Ceignes;8203;Oyonnax;01;82;84
01068;Cerdon;8201;Ambérieu-en-Bugey;01;82;84
01069;Certines;8202;Bourg-en-Bresse;01;82;84
01071;Cessy;8219;Le Genevois Français;01;82;84
01072;Ceyzériat;8202;Bourg-en-Bresse;01;82;84
01073;Ceyzérieu;8216;Chambéry;01;82;84
01074;Chalamont;8214;Lyon;01;82;84
01075;Chaleins;8213;Villefranche-sur-Saône;01;82;84
01076;Chaley;8201;Ambérieu-en-Bugey;01;82;84
01077;Challes-la-Montagne;8201;Ambérieu-en-Bugey;01;82;84
01078;Challex;8219;Le Genevois Français;01;82;84
01079;Champagne-en-Valromey;8216;Chambéry;01;82;84
01080;Champdor;8203;Oyonnax;01;82;84
01081;Champfromier;8219;Le Genevois Français;01;82;84
01082;Chanay;8219;Le Genevois Français;01;82;84
01083;Chaneins;8213;Villefranche-sur-Saône;01;82;84
01084;Chanoz-Châtenay;8202;Bourg-en-Bresse;01;82;84
01085;La Chapelle-du-Châtelard;8213;Villefranche-sur-Saône;01;82;84
01087;Charix;8203;Oyonnax;01;82;84
01088;Charnoz-sur-Ain;8201;Ambérieu-en-Bugey;01;82;84
01089;Château-Gaillard;8201;Ambérieu-en-Bugey;01;82;84
01090;Châtenay;8214;Lyon;01;82;84
01091;Châtillon-en-Michaille;8219;Le Genevois Français;01;82;84
01092;Châtillon-la-Palud;8201;Ambérieu-en-Bugey;01;82;84
01093;Châtillon-sur-Chalaronne;8213;Villefranche-sur-Saône;01;82;84
01094;Chavannes-sur-Reyssouze;0053;Mâcon;01;82;84
01095;Chavannes-sur-Suran;8202;Bourg-en-Bresse;01;82;84
01096;Chaveyriat;8202;Bourg-en-Bresse;01;82;84
01097;Chavornay;8216;Chambéry;01;82;84
01098;Chazey-Bons;8216;Chambéry;01;82;84
01099;Chazey-sur-Ain;8201;Ambérieu-en-Bugey;01;82;84
01100;Cheignieu-la-Balme;8216;Chambéry;01;82;84
01101;Chevillard;8203;Oyonnax;01;82;84
01102;Chevroux;0053;Mâcon;01;82;84
01103;Chevry;8219;Le Genevois Français;01;82;84
01104;Chézery-Forens;8219;Le Genevois Français;01;82;84
01105;Civrieux;8214;Lyon;01;82;84
01106;Cize;8202;Bourg-en-Bresse;01;82;84
01107;Cleyzieu;8201;Ambérieu-en-Bugey;01;82;84
01108;Coligny;8202;Bourg-en-Bresse;01;82;84
01109;Collonges;8219;Le Genevois Français;01;82;84
01110;Colomieu;8216;Chambéry;01;82;84
01111;Conand;8201;Ambérieu-en-Bugey;01;82;84
01112;Condamine;8203;Oyonnax;01;82;84
